index,year,package,className,direction
92,2007,base.trunk.src.org.hsqldb.jdbc,jdbcPreparedStatement,From
93,2007,base.trunk.src.org.hsqldb.jdbc,jdbcPreparedStatement,To
94,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceFactoryTest,From
95,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceFactoryTest,To
96,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,From
97,2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,To
98,2007,base.trunk.src.org.hsqldb.test,TestMultiInsert,From
99,2007,base.trunk.src.org.hsqldb.test,TestMultiInsert,To
100,2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextQuoted,From
101,2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextQuoted,To
102,2007,base.trunk.src.org.hsqldb,CommandParser,From
103,2007,base.trunk.src.org.hsqldb,CommandParser,To
104,2007,base.trunk.src.org.hsqldb.lib,DoubleIntIndex,From
105,2007,base.trunk.src.org.hsqldb.lib,DoubleIntIndex,To
106,2007,base.trunk.src.org.hsqldb.result,ResultMetaData,From
107,2007,base.trunk.src.org.hsqldb.result,ResultMetaData,To
108,2007,base.trunk.src.org.hsqldb.test,TestStoredProcedure,From
109,2007,base.trunk.src.org.hsqldb.test,TestStoredProcedure,To
110,2007,base.trunk.test.org.hsqldb.jdbc,jdbcParameterMetaDataTest,From
111,2007,base.trunk.test.org.hsqldb.jdbc,jdbcParameterMetaDataTest,To
112,2007,base.trunk.src.org.hsqldb.types,CharacterType,From
113,2007,base.trunk.src.org.hsqldb.types,CharacterType,To
114,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterBinary,From
115,2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterBinary,To
116,2007,base.trunk.src.org.hsqldb.lib,ClosableCharArrayWriter,From
117,2007,base.trunk.src.org.hsqldb.lib,ClosableCharArrayWriter,To
118,2007,base.trunk.src.org.hsqldb.util,ZaurusDatabaseManager,From
119,2007,base.trunk.src.org.hsqldb.util,ZaurusDatabaseManager,To
120,2007,base.trunk.src.org.hsqldb.persist,Logger,From
121,2007,base.trunk.src.org.hsqldb.persist,Logger,To
122,2007,base.trunk.src.org.hsqldb.test,TestSelf,From
123,2007,base.trunk.src.org.hsqldb.test,TestSelf,To
124,2007,base.trunk.test.org.hsqldb.jdbc,jdbcSQLXMLTest,From
125,2007,base.trunk.test.org.hsqldb.jdbc,jdbcSQLXMLTest,To
126,2007,base.trunk.src.org.hsqldb,CachedRow,From
127,2007,base.trunk.src.org.hsqldb,CachedRow,To
128,2007,base.trunk.src.org.hsqldb.store,BaseHashMap,From
129,2007,base.trunk.src.org.hsqldb.store,BaseHashMap,To
130,2007,base.trunk.src.org.hsqldb.jdbc,jdbcResultSetMetaData,From
131,2007,base.trunk.src.org.hsqldb.jdbc,jdbcResultSetMetaData,To
132,2007,base.trunk.src.org.hsqldb.jdbc,jdbcDatabaseMetaData,From
133,2007,base.trunk.src.org.hsqldb.jdbc,jdbcDatabaseMetaData,To
134,2007,base.trunk.test.org.hsqldb.jdbc,UtilTest,From
135,2007,base.trunk.test.org.hsqldb.jdbc,UtilTest,To
136,2007,base.trunk.src.org.hsqldb.util.preprocessor,Document,From
137,2007,base.trunk.src.org.hsqldb.util.preprocessor,Document,To
138,2007,base.trunk.src.org.hsqldb.test,TestScripts,From
139,2007,base.trunk.src.org.hsqldb.test,TestScripts,To
140,2007,base.trunk.src.org.hsqldb.test,TestSchemaParse,From
