versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.src.org.hsqldb.types,BlobInputStream,72,3,41,19
2007,base.trunk.src.org.hsqldb.test,TestINPredicateParameterizationAndCorrelation,96,5,29,6
2007,base.trunk.src.org.hsqldb.test,TestGroupByHaving,187,7,48,9
2008,base.trunk.src.org.hsqldb.types,DistinctType,145,5,133,75
2008,base.trunk.src.org.hsqldb.test,TestScripts,134,2,17,11
2008,base.trunk.src.org.hsqldb.dbinfo,DITypeInfo,607,14,80,14
2007,base.trunk.src.org.hsqldb.util,ScriptTool,172,2,11,6
2007,base.trunk.src.org.hsqldb.types,BooleanType,122,13,83,10
2008,base.trunk.src.org.hsqldb.persist,Log,476,7,40,6
2007,base.trunk.src.org.hsqldb.test,HsqldbTestCase,84,1,5,5
2007,base.trunk.src.org.hsqldb.test,TestDateTime,181,6,64,16
2008,base.trunk.src.org.hsqldb.lib,StringConverter,388,2,10,5
2007,base.trunk.src.org.hsqldb.server,WebServer,63,3,28,16
2008,base.trunk.src.org.hsqldb.test,TestAny,69,2,12,6
2008,base.trunk.src.org.hsqldb.server,HsqlSocketFactorySecure,170,2,16,8
2007,base.trunk.src.org.hsqldb,Function,293,4,22,6
2008,base.trunk.src.org.hsqldb.util,TransferDb,665,11,82,14
2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextLog,132,1,7,7
2007,base.trunk.src.org.hsqldb.util,Transfer,813,10,65,8
2008,base.trunk.src.org.hsqldb.server,ServerConfiguration,125,2,22,11
2008,base.trunk.src.org.hsqldb,SetFunction,311,6,46,10
2008,base.trunk.src.org.hsqldb.rowio,RowOutputBase,155,1,7,7
2008,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,1325,28,173,17
2007,base.trunk.src.org.hsqldb,Row,109,1,6,6
2008,base.trunk.src.org.hsqldb.types,BlobDataRemoteClient,122,6,39,9
2008,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,79,3,21,8
2008,base.trunk.src.org.hsqldb.rowio,RowInputBinary,153,4,20,5
2007,base.trunk.src.org.hsqldb,TableWorks,788,8,59,11
2007,base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,136,7,35,5
2008,base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,63,4,26,8
2008,base.trunk.src.org.hsqldb.util,ZaurusEditor,373,1,8,8
